player_name,team_name,tm_name,tm_club,position_detail,market_value,match_score,flag
Rouven Tarnutzer,Freiburg,Rouven Tarnutzer,SC Freiburg II,CM,€175k,100.0,✅
Rudy Matondo,Paris FC,Rudy Matondo,Paris FC,CM,€15.00m,100.0,✅
Ryan Rodin,Auxerre,Ryan Rodin,AJ Auxerre B,CF,€300k,100.0,✅
Rémi Himbert,Lyon,Rémi Himbert,Olympique Lyon,LW,€10.00m,100.0,✅
Said El Mala,Köln,Said El Mala,1.FC Köln,LW,€35.00m,100.0,✅
Salim Musah,Werder Bremen,Salim Musah,SV Werder Bremen,CF,€500k,100.0,✅
Samba Konaté,RB Leipzig,Samba Konaté,RB Leipzig U19,CF,€1.00m,100.0,✅
Samir El Mourabet,Strasbourg,Samir El Mourabet,RC Strasbourg Alsace,CM,€18.00m,100.0,✅
Samu Becerra,Rayo Vallecano,Samu Becerra,Rayo Vallecano B,CM,€300k,100.0,✅
Samuel Amo-Ameyaw,Strasbourg,Samuel Amo-Ameyaw,RC Strasbourg Alsace,RW,€8.00m,100.0,✅
Samuel Nibombé,Monaco,Samuel Nibombe,AS Monaco U21,DM,€1.00m,95.0,✅
Samuele Inácio,Dortmund,Samuele Inácio,Borussia Dortmund,SS,€3.00m,100.0,✅
Sascha Britschgi,Parma,Sascha Britschgi,Parma Calcio 1913,RB,€10.00m,100.0,✅
Selton Sánchez,Athletic Club,Selton Sánchez,Athletic Bilbao,CM,€3.00m,96.1,✅
Semih Kılıçsoy,Cagliari,Semih Kılıçsoy,Cagliari Calcio,CF,€13.00m,100.0,✅
Senny Mayulu,Paris Saint-Germain,Senny Mayulu,Paris Saint-Germain,CM,€40.00m,100.0,✅
Seny Koumbassa,Toulouse,Seny Koumbassa,FC Toulouse,CB,€1.00m,100.0,✅
Seydou Fini,Genoa,Seydou Fini,Frosinone Calcio,RW,€1.50m,82.0,⚠️
Shea Lacey,Manchester Utd,Shea Lacey,Manchester United U21,RW,€3.00m,97.7,✅
Sidiki Cherif,Angers,Sidiki Chérif,Fenerbahce,CF,€18.00m,81.0,⚠️
Soriba Diaoune,Lille,Soriba Diaoune,LOSC Lille,LW,€5.00m,100.0,✅
Souza,Tottenham Hotspur,Douglas Costa,Chievo Verona,RW,€400k,42.5,⚠️
Stanis Idumbo,Sevilla,Stanis Idumbo,AS Monaco,AM,€5.00m,78.6,⚠️
Steeve Kango,Lyon,Steeve Kango,Olympique Lyon B,RB,€800k,100.0,✅
Stefanos Tzimas,Brighton,Stefanos Tzimas,Brighton & Hove Albion,CF,€20.00m,100.0,✅
Stephan Zagadou,Le Havre,Stephan Zagadou,Le Havre AC,CB,€4.00m,100.0,✅
Sérigné Diop,Brest,Serigne Diop,Retired,CF,-,80.8,⚠️
Tadjidine Mmadi,Marseille,Tadjidine Mmadi,Olympique de Marseille B,LW,€800k,100.0,✅
Taufik Seidu,Atlético Madrid,Taufik Seidu,Atlético Madrid C,CM,-,100.0,✅
Thiago Pinar,Real Madrid,Thiago Pitarch,Real Madrid,CM,€20.00m,89.2,✅
Tidiam Gomis,RB Leipzig,Tidiam Gomis,RB Leipzig,LW,€5.00m,100.0,✅
Tidiane Devernois,Auxerre,Tidiane Devernois,AJ Auxerre B,CM,€300k,100.0,✅
Tim Schnitzer,Augsburg,Tim Schnitzer,FC Augsburg U19,DM,€500k,100.0,✅
Tobias Slotsager,Hellas Verona,Tobias Slotsager,Hellas Verona,CB,€3.00m,100.0,✅
Tobias Weigel,Heidenheim,Tobias Weigel,1.FC Heidenheim 1846 U19,RW,€300k,100.0,✅
Tom Bischof,Bayern Munich,Tom Bischof,Bayern Munich,CM,€40.00m,100.0,✅
Tom Edozie,Wolves,Tom Edozie,Wolverhampton Wanderers U21,RW,-,97.3,✅
Tom Watson,Brighton,Tom Watson,Millwall FC,LW,€10.00m,76.0,⚠️
Tomas Marques,Barcelona,Tommy Marqués,FC Barcelona Atlètic,DM,€3.00m,83.8,⚠️
Toni Fernández,Barcelona,Toni Fernández,FC Barcelona Atlètic,AM,€3.00m,100.0,✅
Trey Nyoni,Liverpool,Trey Nyoni,Liverpool FC,CM,€6.00m,100.0,✅
Tylel Tati,Nantes,Tylel Tati,FC Nantes,CB,€25.00m,100.0,✅
Tyler Dibling,Everton,Tyler Dibling,Everton FC,RW,€22.00m,100.0,✅
Tyler Fletcher,Manchester Utd,Tyler Fletcher,Manchester United U21,CM,-,97.7,✅
Tyrese Noubissié,Strasbourg,Tyrese Noubissie,Racing Strasbourg B,CM,-,95.6,✅
Tyrique George,Chelsea,Tyrique George,Everton FC,LW,€22.00m,82.0,⚠️
Uchenna Ogundu,Augsburg,Uchenna Ogundu,FC Augsburg,CF,€4.00m,100.0,✅
Ugo Lamare,Marseille,Ugo Kadmiri,Olympique Marseille U19,CF,-,76.7,⚠️
Vasilije Adžić,Juventus,Vasilije Adžić,Juventus FC,AM,€8.00m,100.0,✅
Veljko Milosavljević,Bournemouth,Veljko Milosavljevic,AFC Bournemouth,CB,€20.00m,96.5,✅
Victor Valdepeñas,Real Madrid,Víctor Valdepeñas,Real Madrid Castilla,CB,€5.00m,95.9,✅
Vincent Burlet,Lille,Vincent Burlet,US Boulogne,LM,€800k,82.0,⚠️
Vitor Reis,Girona,Vitor Reis,Girona FC,CB,€30.00m,100.0,✅
Vladyslav Krapyvtsov,Girona,Vladyslav Krapyvtsov,Girona FC,GK,€400k,100.0,✅
Wael Mohya,Gladbach,Wael Mohya,Borussia Mönchengladbach,AM,€10.00m,100.0,✅
Warren Zaïre-Emery,Paris Saint-Germain,Warren Zaïre-Emery,Paris Saint-Germain,CM,€60.00m,100.0,✅
Wisdom Mike,Bayern Munich,Wisdom Mike,FC Bayern Munich U19,LW,€5.00m,100.0,✅
Xavi Espart,Barcelona,Xavi Espart,FC Barcelona Atlètic,RB,€5.00m,100.0,✅
Yael Trepy,Cagliari,Yael Trepy,Cagliari Calcio,CF,€1.50m,100.0,✅
Yan Diomandé,RB Leipzig,Yan Diomande,RB Leipzig,LW,€75.00m,94.2,✅
Yannick Eduardo,Hoffenheim,Yannick Eduardo,TSG 1899 Hoffenheim,CF,€2.50m,100.0,✅
Yannik Wagner,Heidenheim,Yannik Wagner,1.FC Heidenheim 1846,LW,€800k,100.0,✅
Yaya Diémé,Strasbourg,Yaya Diémé,Racing Strasbourg B,RW,-,100.0,✅
Youssef Lekhedim,Alavés,Youssef Enríquez,Deportivo Alavés,LB,€5.00m,73.8,⚠️
Youssoupha Niang,Köln,Youssoupha Niang,1.FC Köln,RW,€2.00m,100.0,✅
Yvan Zaddy,Auxerre,Yvan Zaddy,AJ Auxerre B,DM,-,100.0,✅
Zach Abbott,Nottingham Forest,Zach Abbott,Nottingham Forest,CB,€3.00m,100.0,✅
Álex Sánchez,Elche,Álex Sánchez,Elche Ilicitano,RW,€50k,100.0,✅
İsak Vural,Pisa,İsak Vural,Pisa Sporting Club,CM,€5.00m,100.0,✅
